Class;gt;eval;t_start;t_end
bicycle;20;32;08:00:00;08:05:00
person;3;12;08:00:00;08:05:00
bicycle;26;44;08:05:00;08:10:00
person;6;12;08:05:00;08:10:00
motorcycle;0;2;08:05:00;08:10:00
bicycle;15;28;08:10:00;08:15:00
person;6;12;08:10:00;08:15:00
bicycle;24;20;08:15:00;08:20:00
person;3;6;08:15:00;08:20:00
truck;1;0;08:15:00;08:20:00
car;0;1;08:15:00;08:20:00
bicycle;33;29;08:20:00;08:25:00
person;1;3;08:20:00;08:25:00
motorcycle;0;3;08:20:00;08:25:00
bicycle;32;30;08:25:00;08:30:00
person;6;9;08:25:00;08:30:00
car;0;1;08:25:00;08:30:00
bicycle;21;18;08:30:00;08:35:00
person;2;6;08:30:00;08:35:00
car;1;1;08:30:00;08:35:00
bicycle;29;30;08:35:00;08:40:00
person;8;8;08:35:00;08:40:00
motorcycle;0;1;08:35:00;08:40:00
bicycle;20;17;08:40:00;08:45:00
person;14;16;08:40:00;08:45:00
motorcycle;0;1;08:40:00;08:45:00
