;EventID;TrackID;SectionID;Class;Frame;X;Y;DateTime
97;99;400;Haltelinie;truck;1588;422;242;2022-10-17 13:16:19
105;107;456;Haltelinie;truck;1586;414;237;2022-10-17 13:16:19
99;101;445;Haltelinie;truck;2103;427;242;2022-10-17 13:16:45
156;158;700;Haltelinie;truck;3115;351;266;2022-10-17 13:17:35
288;290;1312;Haltelinie;truck;5036;449;230;2022-10-17 13:19:11
347;349;1536;Haltelinie;truck;6135;295;285;2022-10-17 13:20:06
477;479;2056;Haltelinie;truck;9601;416;244;2022-10-17 13:23:00
548;550;2353;Haltelinie;truck;10309;398;251;2022-10-17 13:23:35
536;538;2334;Haltelinie;truck;10344;445;233;2022-10-17 13:23:37
597;599;2477;Haltelinie;truck;11334;405;245;2022-10-17 13:24:26
717;719;3050;Haltelinie;truck;13951;423;241;2022-10-17 13:26:37
896;898;3773;Haltelinie;truck;17500;422;242;2022-10-17 13:29:35
944;946;3976;Haltelinie;truck;17728;325;273;2022-10-17 13:29:46
